block_size,insertion,selection
59400,0.0156264,3.58033
59500,0.0156268,3.59226
59600,0.0115474,3.61817
59700,0.005456,3.61808
59800,0.0156265,3.62574
59900,0.0156262,3.65982
60000,0,3.65723
60100,0.0158263,3.67243
60200,0,3.70038
60300,0.0056259,3.69558
60400,0,3.72289
60500,0,3.73868
60600,0,3.73584
60700,0.0140198,3.74147
60800,0.0170278,3.76276
60900,0,3.77675
61000,0,3.80182
61100,0.007002,3.78737
61200,0,3.83165
61300,0,3.8338
61400,0,3.83193
61500,0.0200951,3.83789
61600,0.0156259,3.85593
61700,0,3.8884
61800,0,3.88003
61900,0.0156259,3.89352
62000,0,3.91624
62100,0,3.93549
62200,0,3.93987
62300,0.005001,3.94269
62400,0,3.96264
62500,0,3.98564
62600,0,3.99991
62700,0.0011648,4.0076
62800,0.0138228,3.99596
62900,0.0210968,4.01421
63000,0.0156257,4.04607
63100,0.005903,4.05744
63200,0.0043063,4.07147
63300,0.0156259,4.07767
63400,0.0156262,4.15272
63500,0,4.16185
63600,0.0060677,4.12676
63700,0.0051709,4.12818
63800,0.006555,4.15251
63900,0.0054398,4.16599
64000,0.0060014,4.19093
64100,0.0060014,4.17502
64200,0.0174801,4.19322
64300,0,4.20481
64400,0.0156261,4.22314
64500,0,4.23587
64600,0.0156261,4.2403
64700,0,4.26839
64800,0,4.28573
64900,0,4.38306
65000,0.0058726,4.30379
65100,0.0069427,4.32056
65200,0,4.32329
65300,0,4.335
65400,0.0172675,4.34361
65500,0.0156259,4.35264
65600,0.0156236,4.37675
65700,0.0140187,4.38151
65800,0.0135201,4.41537
65900,0.0067792,4.42226
66000,0,4.43751
66100,0,4.45463
66200,0,4.47137
66300,0,4.47728
66400,0,4.50112
66500,0,4.50644
66600,0,4.51646
66700,0.0156253,4.52325
66800,0,4.54896
66900,0,4.56324
67000,0,4.57565
67100,0.0020698,4.59009
67200,0,4.60169
67300,0.0145185,4.61134
67400,0,4.61682
67500,0.0209897,4.63746
67600,0,4.6638
67700,0,4.65757
67800,0.0174791,4.67884
67900,0,4.6992
68000,0,4.6996
68100,0.0156259,4.72009
68200,0,4.74075
68300,0,4.75095
68400,0,4.77168
68500,0.0018278,4.78808
68600,0.0005035,4.78764
68700,0.0145097,4.79702
68800,0,4.82939
68900,0,4.82583
69000,0.0175705,4.84822
69100,0.0061681,4.88466
69200,0.0059907,4.87563
69300,0.006591,4.88422
69400,0.0078478,4.90982
69500,0.0018947,4.9117
69600,0.0156266,4.92733
69700,0,4.95041
69800,0,4.97545
69900,0,4.98966
70000,0,4.98603
70100,0,5.00958
70200,0,5.01369
70300,0.0156458,5.02947
70400,0,5.04751
70500,0,5.05803
70600,0,5.08905
70700,0.0060012,5.07728
70800,0.0140196,5.09344
70900,0.0194825,5.1163
71000,0,5.13443
71100,0.0140195,5.14473
71200,0,5.16091
